***small example from ESPaDOnS LibreEsprit format
  47824 5
  486.2623  8.0938e-01  3.0108e-03 -1.1003e-03 -8.3945e-04  1.6181e-03
  486.2656  8.1331e-01  2.0675e-03 -3.1051e-05  5.2646e-04  1.6193e-03
  486.2688  8.1170e-01 -2.2356e-03  2.5683e-03  1.2224e-04  1.6560e-03
  486.2721  7.9552e-01 -2.1185e-03  2.7068e-03  1.7948e-04  1.6193e-03
  486.2753  7.5464e-01 -9.7250e-04  6.1806e-04  2.2020e-04  1.5419e-03
  486.2786  6.8552e-01  1.5156e-03 -9.3103e-04 -5.2402e-04  1.5259e-03
  486.2818  6.1579e-01 -1.1257e-04 -1.1477e-03 -1.6312e-03  1.4525e-03
  486.2851  5.7662e-01  1.5669e-03  7.9151e-04 -2.3542e-04  1.3617e-03
  486.2883  6.1174e-01 -1.5538e-03  1.1576e-03 -6.9101e-04  1.4405e-03
  486.2916  6.9888e-01  8.7103e-04  1.4652e-04  5.6607e-05  1.5270e-03
  486.2948  7.8658e-01 -4.1072e-05 -2.1120e-03  5.8196e-04  1.5646e-03
  486.2981  8.2997e-01 -3.0250e-03 -5.8136e-04  2.8499e-03  1.6403e-03
  486.3013  8.4690e-01 -1.0708e-03  1.6161e-03  2.3153e-03  1.6749e-03
  486.3045  8.5468e-01  4.3300e-04  2.5585e-03  1.0135e-03  1.6446e-03
  486.3078  8.5489e-01 -3.0495e-04  2.9850e-03  3.2579e-04  1.6410e-03
  486.3110  8.5427e-01  8.1036e-04 -1.6983e-03 -1.7887e-03  1.6848e-03
  486.3143  8.5136e-01 -1.3508e-03 -1.0098e-03 -9.5194e-04  1.6566e-03
  486.3175  8.5222e-01 -6.6135e-04 -1.3301e-03  7.3809e-04  1.6164e-03
  486.3208  8.5865e-01 -4.4055e-04  4.6916e-04  1.5537e-03  1.6792e-03
  486.3240  8.6162e-01 -2.8340e-03 -1.0034e-03  2.1946e-03  1.6725e-03
  486.3273  8.5544e-01  7.4719e-04  3.3651e-05  1.9015e-03  1.6167e-03
  486.3305  8.4055e-01 -3.0051e-03 -1.8262e-05  4.7068e-04  1.6507e-03
  486.3338  8.3113e-01 -4.4483e-03 -2.9657e-03 -1.5271e-03  1.6549e-03
  486.3370  8.2926e-01 -1.1322e-03 -2.0930e-04  4.9754e-04  1.5952e-03
  486.3402  8.3895e-01 -1.7708e-03  3.6358e-04  5.8550e-04  1.6373e-03
  486.3435  8.4825e-01  1.1045e-03  1.9598e-04 -4.6568e-05  1.6608e-03
  486.3467  8.4780e-01 -1.6731e-03  8.7629e-04 -4.1869e-04  1.6240e-03
  486.3500  8.4719e-01 -2.4321e-03  1.2275e-03  4.9034e-04  1.6189e-03
  486.3532  8.5099e-01  1.2596e-03 -2.3824e-03  1.3987e-03  1.6673e-03
  486.3565  8.5925e-01  1.7765e-03 -2.0237e-04 -3.0428e-03  1.6459e-03
  486.3597  8.7085e-01 -1.6605e-03 -6.8345e-04  1.0084e-04  1.6219e-03
  486.3629  8.6990e-01  2.5441e-03 -1.4190e-03  6.0690e-04  1.6749e-03
  486.3662  8.6761e-01 -3.8276e-03 -1.7086e-03 -3.4258e-04  1.6662e-03
  486.3694  8.5393e-01 -2.3117e-04  3.2803e-03 -4.5505e-04  1.5997e-03
  486.3727  8.4069e-01  1.0885e-03 -9.4170e-04 -2.4644e-03  1.6389e-03
  486.3759  8.2903e-01  9.9824e-04 -2.2247e-04  9.3672e-04  1.6344e-03
  486.3792  7.9869e-01  2.0948e-03  1.6528e-03  4.4049e-04  1.5549e-03
  486.3824  7.1659e-01  2.2806e-03 -1.3304e-03 -1.7827e-03  1.5004e-03
  486.3857  5.7987e-01  4.9974e-05 -9.7204e-04  4.3686e-04  1.3785e-03
  486.3889  4.2684e-01  1.1142e-03  2.4354e-04 -5.6489e-04  1.1846e-03
  486.3922  3.8201e-01  1.4299e-05  1.0488e-03  8.8959e-04  1.1192e-03
  486.3954  4.6600e-01  4.4191e-04  2.4311e-03  3.7203e-04  1.2468e-03
  486.3987  5.8726e-01  1.0093e-03 -1.9739e-03  2.7915e-03  1.3555e-03
  486.4018  6.6018e-01  1.2800e-03 -1.4427e-03  1.4443e-03  1.4120e-03
  486.4052  7.1213e-01 -1.4420e-03 -8.6121e-04 -4.7034e-04  1.5116e-03
  486.4083  7.6693e-01  3.5765e-03  1.3427e-03  1.1036e-03  1.5567e-03
  486.4117  7.8048e-01 -2.7868e-04  2.4834e-04 -1.5930e-03  1.5193e-03
  486.4148  7.3149e-01 -2.2376e-03 -1.2227e-03 -3.6690e-04  1.5191e-03
  486.4182  6.6830e-01 -1.8158e-03 -9.2435e-04  8.7091e-04  1.4753e-03
  486.4213  6.6870e-01  2.9593e-04  6.4197e-04 -1.9291e-03  1.4136e-03
  486.4247  7.4803e-01  2.8570e-03  1.9477e-03 -3.2165e-03  1.5218e-03
  486.4278  8.2147e-01  1.1224e-03 -9.1430e-04 -2.7117e-03  1.6030e-03
  486.4310  8.6314e-01 -6.7054e-04 -4.4205e-04  9.7259e-04  1.6065e-03
  486.4343  8.7198e-01  1.3768e-03  7.3424e-04 -7.5300e-04  1.6164e-03
  486.4375  8.4449e-01  5.8630e-04  6.0148e-04  5.0145e-04  1.6249e-03
  486.4408  7.7836e-01  1.0870e-03 -1.8134e-03 -1.2693e-03  1.5497e-03
