***small example from ESPaDOnS LibreEsprit format
  47824 5
  495.3867  9.1800e-01 -7.0264e-04  1.4200e-03  9.9269e-04  1.0602e-03
  495.3895  9.1276e-01 -7.2579e-04  1.7282e-03  3.1245e-04  1.0213e-03
  495.3923  8.9673e-01 -1.8610e-04 -4.7599e-05  8.6392e-04  1.0394e-03
  495.3952  8.5864e-01  1.0766e-03 -1.3066e-03  8.9470e-04  1.0295e-03
  495.3980  8.3161e-01  5.2806e-04 -6.9301e-05  1.0849e-04  9.8514e-04
  495.4008  8.3767e-01  2.1045e-03 -1.4340e-03  2.1110e-04  9.9704e-04
  495.4036  8.7869e-01  6.0959e-05 -6.3929e-04 -1.6886e-04  1.0420e-03
  495.4064  9.1116e-01  4.3866e-04  2.1742e-03 -1.6465e-03  1.0398e-03
  495.4092  9.2629e-01  9.0017e-04 -1.5978e-04 -4.0034e-04  1.0320e-03
  495.4120  9.3595e-01  1.5877e-03 -6.9364e-04  1.0566e-03  1.0725e-03
  495.4148  9.3310e-01 -7.6676e-04 -5.7878e-04 -1.3064e-03  1.0657e-03
  495.4176  9.3087e-01  9.6200e-05  6.0433e-04  2.0792e-03  1.0325e-03
  495.4204  9.2202e-01 -3.7971e-04  2.0132e-03 -6.8155e-04  1.0639e-03
  495.4232  9.0917e-01 -9.7830e-04  1.9084e-03  1.5269e-03  1.0583e-03
  495.4260  8.9864e-01 -1.3726e-03 -1.0804e-03 -2.9424e-04  1.0167e-03
  495.4289  8.9337e-01 -2.5604e-04  3.1129e-04 -1.3747e-03  1.0429e-03
  495.4317  8.8979e-01 -1.6589e-03  1.7151e-03 -7.0594e-04  1.0492e-03
  495.4345  8.8971e-01  2.1642e-04 -8.9678e-04 -2.0895e-03  1.0186e-03
  495.4373  8.9424e-01 -7.3207e-04  3.7039e-04  3.1174e-03  1.0297e-03
  495.4401  9.0356e-01  1.5896e-03  9.1277e-05 -1.1423e-03  1.0600e-03
  495.4429  9.0905e-01 -5.2288e-04  2.1630e-04 -1.2279e-03  1.0428e-03
  495.4457  9.1289e-01  5.5570e-04  3.5844e-04 -1.5170e-03  1.0300e-03
  495.4485  9.1239e-01 -4.7991e-04 -5.5093e-04  1.5196e-03  1.0642e-03
  495.4513  8.9890e-01 -1.0665e-03  3.5032e-04  1.0786e-03  1.0494e-03
  495.4543  8.8211e-01 -8.0834e-04  3.3264e-04  7.6199e-04  1.0095e-03
  495.4570  8.6705e-01 -1.8863e-06 -3.6863e-04  4.6781e-04  1.0349e-03
  495.4598  8.6894e-01  8.0892e-04  1.2379e-03 -3.9103e-04  1.0385e-03
  495.4626  8.7900e-01  1.0831e-03  1.0004e-03 -1.7024e-03  1.0076e-03
  495.4655  8.9375e-01  2.5239e-03  8.9667e-04 -4.2774e-04  1.0445e-03
  495.4682  8.9999e-01  1.2185e-03 -2.7091e-05 -1.2746e-03  1.0563e-03
  495.4710  8.9682e-01 -6.6341e-04 -8.3890e-04  1.1352e-03  1.0263e-03
  495.4738  8.8811e-01  2.0725e-04 -4.0631e-04  1.6746e-04  1.0279e-03
  495.4767  8.7342e-01  4.3376e-04  3.8024e-04  3.0679e-04  1.0433e-03
  495.4794  8.3823e-01 -8.6875e-04  1.7828e-03 -4.6942e-05  1.0077e-03
  495.4822  7.6453e-01 -1.0090e-03  6.0282e-04 -1.2311e-03  9.4730e-04
  495.4850  6.7239e-01  1.8856e-03  1.7458e-03 -6.6345e-04  9.2649e-04
  495.4879  6.2613e-01 -2.7540e-04  4.0865e-04  9.9171e-04  8.9007e-04
  495.4906  6.5168e-01  4.2110e-04 -4.2283e-04 -4.3496e-04  8.7828e-04
  495.4934  7.1591e-01  1.8694e-03 -3.9769e-04 -2.5081e-04  9.4657e-04
  495.4962  7.5772e-01 -9.7654e-04 -1.9284e-03 -9.2218e-04  9.7295e-04
  495.4991  7.3212e-01 -1.7660e-04 -6.5067e-04  9.2370e-05  9.2689e-04
  495.5020  6.3966e-01  2.9840e-04  6.5827e-04 -9.5685e-04  8.8926e-04
  495.5047  5.0330e-01 -4.7172e-04  4.0277e-04 -1.9145e-03  8.1388e-04
  495.5075  4.2873e-01  1.9494e-04  1.1764e-03 -5.7333e-04  7.3151e-04
  495.5103  4.8474e-01 -6.3876e-05 -2.5370e-04  2.0428e-03  7.8156e-04
  495.5132  6.4803e-01 -1.5284e-03  1.1293e-03  7.8169e-05  9.0116e-04
  495.5159  7.8955e-01  3.6643e-04  3.5096e-04  2.0094e-05  9.7333e-04
  495.5187  8.7220e-01 -6.3908e-04 -8.7405e-04 -1.0346e-05  1.0098e-03
  495.5215  9.0397e-01  8.8886e-04 -6.1455e-05  2.9291e-04  1.0644e-03
  495.5244  9.1310e-01  2.5471e-03 -8.3354e-04 -1.1459e-03  1.0590e-03
  495.5271  9.1222e-01 -1.6591e-03  3.9224e-04 -3.1767e-04  1.0281e-03
  495.5299  9.1339e-01 -5.3464e-04 -7.4726e-04  2.1788e-04  1.0648e-03
  495.5327  9.1178e-01  1.9928e-03 -1.8403e-03  1.3266e-03  1.0689e-03
  495.5356  9.1064e-01  1.1261e-03 -6.8964e-04 -2.0663e-04  1.0291e-03
  495.5383  9.0982e-01  1.1696e-03 -9.9414e-04 -7.7541e-04  1.0586e-03
  495.5411  9.0544e-01  2.6798e-03  4.4357e-04  6.9485e-04  1.0652e-03
  495.5439  9.0601e-01  3.4667e-04 -1.1843e-03 -1.1333e-03  1.0349e-03
  495.5468  9.0031e-01 -4.2419e-04  6.9948e-04  5.6181e-05  1.0424e-03
  495.5495  8.8514e-01  1.4422e-03 -2.1051e-05 -3.8568e-05  1.0567e-03
  495.5523  8.6688e-01 -1.3034e-03  1.1870e-03 -2.4990e-04  1.0267e-03
  495.5551  8.4529e-01 -1.5362e-04  2.4560e-04  7.8017e-04  9.9748e-04
  495.5580  8.3747e-01 -7.9904e-04  1.1989e-03  3.2164e-04  1.0328e-03
  495.5607  8.3776e-01 -1.3346e-03 -6.8851e-04 -1.1151e-03  1.0220e-03
  495.5635  8.4732e-01  1.1101e-03 -1.3810e-03 -1.4557e-03  9.9580e-04
  495.5663  8.6525e-01 -7.2570e-04  1.0937e-04  6.1086e-04  1.0435e-03
  495.5692  8.8313e-01 -4.3482e-05 -1.2349e-03  7.3375e-04  1.0558e-03
  495.5721  8.9258e-01  1.7266e-04  9.0394e-04 -6.4490e-04  1.0217e-03
  495.5747  8.9491e-01 -5.8486e-04  7.9859e-04 -2.2978e-03  1.0534e-03
  495.5775  8.9583e-01  4.9348e-04  6.3149e-04 -4.2577e-04  1.0628e-03
  495.5804  8.9044e-01 -9.5591e-04 -7.8013e-04  3.3223e-04  1.0295e-03
  495.5833  8.8627e-01  2.1020e-03  5.9078e-04 -1.3197e-03  1.0374e-03
  495.5859  8.8106e-01  8.4867e-04 -1.0507e-03 -4.7003e-04  1.0594e-03
  495.5887  8.7752e-01 -7.4749e-05 -2.6867e-04 -1.3059e-03  1.0360e-03
  495.5916  8.7993e-01 -1.7785e-03 -2.0606e-04 -1.5546e-04  1.0221e-03
  495.5945  8.8639e-01 -2.3448e-03  3.6403e-04 -8.5974e-04  1.0616e-03
  495.5972  8.8418e-01  2.6822e-04 -1.0109e-03 -3.0232e-04  1.0518e-03
  495.5999  8.8651e-01  7.4479e-04 -7.2193e-04  7.9490e-04  1.0204e-03
  495.6028  8.8466e-01 -4.4143e-04  3.0846e-05 -5.0150e-04  1.0562e-03
  495.6057  8.8525e-01  5.3192e-04  5.2143e-04  3.3636e-04  1.0593e-03
  495.6084  8.8461e-01 -7.8807e-04  1.4376e-04 -3.9011e-04  1.0215e-03
  495.6111  8.8084e-01 -1.7489e-04 -1.2128e-03 -9.0357e-04  1.0475e-03
  495.6140  8.7779e-01  6.4589e-04  2.0656e-04 -7.1033e-04  1.0562e-03
  495.6169  8.6724e-01  2.2883e-04 -1.0513e-04  7.4681e-04  1.0206e-03
  495.6196  8.5441e-01 -4.8839e-04  5.0530e-04  8.7550e-04  1.0212e-03
  495.6223  8.3595e-01 -2.8650e-03  6.9574e-04  1.1087e-03  1.0359e-03
  495.6252  8.2852e-01  1.3506e-03  4.8915e-04  9.0856e-05  1.0102e-03
  495.6281  8.2490e-01  1.1734e-03 -6.7447e-04 -2.1715e-03  9.9222e-04
  495.6307  8.3092e-01  1.0370e-03  2.1197e-05 -2.2227e-03  1.0300e-03
  495.6335  8.3348e-01  1.0183e-04 -1.8355e-03 -6.9524e-04  1.0244e-03
  495.6364  8.3913e-01 -4.3732e-04 -6.0485e-04 -1.3964e-03  9.9504e-04
  495.6391  8.4332e-01 -1.5806e-03  3.4343e-04  9.1129e-04  1.0317e-03
  495.6419  8.4182e-01  8.9460e-04 -1.2569e-03  6.8195e-04  1.0321e-03
  495.6447  8.3759e-01  2.2573e-03  3.2463e-04  2.6312e-04  9.9860e-04
  495.6476  8.3257e-01  9.2096e-04  3.5075e-04 -1.6036e-03  1.0236e-03
  495.6503  8.3265e-01 -4.6415e-04 -9.7602e-04 -6.8170e-04  1.0322e-03
  495.6531  8.3136e-01 -9.8437e-04 -1.0920e-03 -9.5670e-04  1.0030e-03
  495.6559  8.2765e-01  5.0081e-04  3.6568e-04 -3.5428e-04  1.0066e-03
  495.6588  8.2464e-01 -1.5562e-03  4.6762e-04 -1.5317e-03  1.0301e-03
  495.6615  8.1487e-01  9.7282e-04 -1.3054e-03  4.6528e-04  1.0059e-03
  495.6643  8.0943e-01  7.6610e-04  5.4896e-04 -1.5558e-03  9.8672e-04
  495.6671  8.0234e-01 -1.5854e-04 -1.1407e-03  2.9955e-04  1.0174e-03
  495.6700  7.9433e-01 -2.9299e-04  1.3225e-03  2.7830e-04  1.0045e-03
  495.6727  7.8629e-01  2.3197e-04 -5.0536e-04  9.4284e-05  9.7046e-04
  495.6755  7.7762e-01  1.4575e-03 -1.9687e-03  1.4848e-03  9.9776e-04
  495.6783  7.6923e-01 -1.0964e-03 -1.0207e-04  1.2295e-03  9.9595e-04
  495.6812  7.5995e-01 -5.7062e-04  7.1109e-05  1.8731e-03  9.5641e-04
  495.6839  7.4700e-01 -1.0200e-03 -6.8056e-04  1.0761e-03  9.7372e-04
  495.6867  7.3336e-01 -2.0807e-03 -5.5976e-04  4.4808e-04  9.7536e-04
  495.6895  7.2681e-01  7.2720e-04 -7.8789e-05  1.2277e-03  9.4460e-04
  495.6924  7.0697e-01 -1.0096e-03 -5.6946e-04  3.2024e-05  9.3743e-04
  495.6951  6.7975e-01  9.9096e-04  9.8922e-04  1.8683e-03  9.4258e-04
  495.6979  6.5283e-01  1.4574e-03  1.6755e-04 -1.0590e-03  9.0891e-04
  495.7007  6.4445e-01  9.6285e-05 -6.8334e-04  2.3273e-04  8.8915e-04
  495.7036  6.4716e-01 -1.7990e-04 -1.9783e-04 -1.3378e-03  9.2382e-04
  495.7063  6.5132e-01  5.4549e-04  9.3128e-04  3.5103e-04  9.1506e-04
  495.7091  6.4375e-01  1.0675e-03 -9.5513e-04 -8.4324e-04  8.8672e-04
  495.7119  6.2871e-01 -8.5803e-04 -4.2157e-04  1.0116e-03  9.0648e-04
  495.7148  6.0829e-01  1.3295e-03  1.1614e-03 -1.2225e-04  8.9676e-04
  495.7175  5.8726e-01  8.7783e-04 -2.9363e-04 -3.9224e-05  8.4943e-04
  495.7202  5.6569e-01  1.4657e-04 -1.3067e-03 -3.8154e-04  8.5823e-04
  495.7231  5.4219e-01  1.0959e-03 -8.1849e-04 -1.4489e-03  8.5036e-04
  495.7260  5.1888e-01 -9.5652e-04 -2.8889e-04  1.5305e-03  8.0905e-04
  495.7286  4.9342e-01  1.4489e-03 -5.7564e-04  1.5904e-03  7.9803e-04
  495.7314  4.6609e-01 -6.5545e-05  7.5108e-05 -9.1751e-05  7.9568e-04
  495.7343  4.3668e-01  1.2303e-03  8.9258e-04 -6.4130e-05  7.5796e-04
  495.7370  4.0727e-01  5.2902e-04 -8.9941e-06  9.4774e-04  7.2158e-04
  495.7398  3.7311e-01  2.2460e-05 -8.9309e-04  9.9991e-04  7.2323e-04
  495.7426  3.4489e-01  1.2815e-04 -1.2881e-04 -3.3578e-04  6.9001e-04
  495.7455  3.0973e-01 -7.1258e-05 -4.2082e-04  1.0370e-04  6.3755e-04
  495.7482  2.6770e-01 -6.7851e-04 -8.0169e-04 -6.2491e-05  6.1932e-04
  495.7510  2.0856e-01  8.7020e-07 -2.7412e-04  6.7107e-04  5.6554e-04
  495.7538  1.5373e-01 -3.7344e-04  2.1976e-04  4.5370e-04  4.7915e-04
  495.7567  1.2005e-01 -3.6830e-04 -5.7277e-04 -1.5027e-04  4.5510e-04
  495.7594  1.2917e-01 -1.8323e-05 -2.8121e-04 -2.8286e-04  4.6882e-04
  495.7621  1.7133e-01 -4.0959e-04 -4.1905e-05  5.1379e-04  4.9961e-04
  495.7650  2.1660e-01  8.7522e-04  7.0545e-05 -8.5316e-04  5.6061e-04
  495.7677  2.4626e-01  8.5310e-05  3.9116e-04  1.6967e-04  6.0231e-04
  495.7705  2.5309e-01 -1.1680e-04  3.1104e-04 -2.8343e-04  5.9794e-04
  495.7733  2.4446e-01 -1.1974e-03  1.4649e-04  7.3545e-05  5.8032e-04
  495.7762  2.2346e-01  5.4259e-04  7.2949e-04  9.0526e-04  5.8015e-04
  495.7789  1.8870e-01  3.7726e-04 -4.5771e-04 -2.2243e-04  5.3776e-04
  495.7817  1.4183e-01 -1.5954e-05  9.0617e-06 -3.5872e-04  4.6364e-04
  495.7845  1.0087e-01 -2.0752e-04  3.5604e-04 -1.9689e-04  4.3075e-04
  495.7874  8.5119e-02 -2.2670e-04 -3.8413e-05  8.2359e-05  4.1039e-04
  495.7901  1.0297e-01 -3.6129e-04 -2.0966e-04  4.7090e-04  4.1257e-04
  495.7928  1.4194e-01 -5.6145e-04  3.7986e-04 -3.4365e-04  4.8147e-04
  495.7956  1.8331e-01 -3.0171e-04  6.0383e-04  1.3639e-03  5.3234e-04
  495.7984  2.2092e-01  2.2000e-04  2.3963e-04  5.6584e-04  5.5652e-04
  495.8012  2.5268e-01  2.1475e-05  5.5788e-04 -5.9698e-04  5.9964e-04
  495.8040  2.8024e-01  4.1495e-04 -6.4123e-05  1.2769e-03  6.4013e-04
  495.8068  3.0316e-01  2.9014e-04 -7.0268e-04  1.1901e-03  6.4572e-04
  495.8096  3.2725e-01  7.0110e-04  1.6400e-04  8.2312e-04  6.6029e-04
  495.8124  3.4855e-01 -7.5291e-04  2.6468e-04 -2.6757e-04  7.0361e-04
  495.8152  3.7220e-01 -1.8142e-03  1.4222e-03  2.5296e-04  7.1570e-04
  495.8181  3.9321e-01 -8.3609e-04  8.9494e-04 -6.9849e-04  7.1219e-04
  495.8207  4.1398e-01  2.8547e-05 -2.5360e-03  1.0475e-03  7.5754e-04
  495.8235  4.3125e-01 -5.0479e-04  1.3863e-04  4.6314e-04  7.6993e-04
  495.8263  4.5313e-01 -7.1278e-04  2.4945e-04 -2.8987e-04  7.5936e-04
  495.8291  4.7565e-01  2.0809e-04 -4.0782e-04  1.2196e-03  8.0209e-04
  495.8319  5.0135e-01 -8.4846e-04 -5.5740e-04 -1.6204e-03  8.2581e-04
  495.8347  5.2004e-01 -5.4768e-04 -3.4722e-04  9.4464e-04  8.1586e-04
  495.8375  5.3672e-01 -1.6218e-03 -1.0923e-03  9.1275e-04  8.3451e-04
  495.8403  5.5021e-01  1.1175e-03 -1.1805e-03 -1.6579e-03  8.6432e-04
  495.8430  5.5996e-01  9.6118e-04 -4.8685e-04 -1.1141e-03  8.5420e-04
  495.8458  5.6022e-01 -5.2538e-04  1.5773e-04  1.3151e-03  8.4246e-04
  495.8486  5.4886e-01  8.0602e-04  7.1891e-04  6.2871e-04  8.6423e-04
  495.8514  5.3388e-01  5.7529e-04  1.5661e-03  1.2436e-03  8.4775e-04
  495.8542  5.4015e-01  2.6992e-04  9.4659e-04 -4.8204e-04  8.2532e-04
  495.8570  5.7721e-01 -8.1003e-04  2.0599e-03 -2.9761e-04  8.8211e-04
  495.8598  6.3132e-01 -2.5598e-04 -1.4430e-03  1.5467e-03  9.1794e-04
  495.8626  6.6962e-01 -1.2485e-03  2.8031e-04 -2.5450e-04  9.1196e-04
  495.8653  6.9482e-01  6.9056e-04 -2.6491e-04 -2.2135e-04  9.5653e-04
  495.8681  7.1439e-01 -3.8401e-04 -7.7001e-04  7.0670e-04  9.7625e-04
  495.8709  7.2420e-01  2.4687e-04  4.4558e-04  4.5856e-04  9.5357e-04
  495.8737  7.3723e-01 -2.5801e-04  1.1555e-04 -1.5248e-03  9.7151e-04
  495.8765  7.4679e-01  5.2743e-05  5.9425e-04 -4.0169e-04  1.0014e-03
  495.8793  7.5968e-01 -5.7026e-04  3.5951e-05  2.5724e-04  9.8815e-04
  495.8821  7.6879e-01 -1.3685e-03 -4.5353e-04 -4.4938e-04  9.7843e-04
  495.8848  7.7666e-01  1.2339e-03 -2.6583e-04  1.2711e-03  1.0186e-03
  495.8876  7.9069e-01  1.1085e-03 -2.1763e-04 -1.8964e-04  1.0149e-03
  495.8904  7.9959e-01  1.7680e-03  3.2785e-04 -4.1709e-04  9.9391e-04
  495.8932  8.0327e-01  2.5790e-03  8.5215e-05 -1.4128e-03  1.0296e-03
  495.8960  8.0615e-01 -7.2797e-04 -2.9867e-04  6.3281e-04  1.0355e-03
  495.8988  8.0102e-01  7.0214e-04 -7.9007e-04 -1.3963e-03  9.9512e-04
  495.9016  7.9734e-01  1.7566e-04 -1.0326e-03 -7.4275e-04  1.0227e-03
  495.9043  7.9786e-01  6.9448e-04  6.3983e-04 -3.6245e-04  1.0314e-03
  495.9071  8.1232e-01  1.1579e-03 -8.4560e-04  1.0283e-04  1.0082e-03
  495.9099  8.2383e-01  9.4074e-04  1.4830e-03 -2.1680e-04  1.0269e-03
  495.9128  8.3385e-01  1.4942e-04 -7.2363e-04 -9.8818e-05  1.0555e-03
  495.9155  8.3744e-01  5.6361e-04  2.2795e-04  1.1482e-03  1.0375e-03
  495.9183  8.3927e-01  3.9067e-05 -7.4189e-04  9.6571e-04  1.0212e-03
  495.9211  8.3770e-01  7.1604e-04  1.4848e-03  2.9579e-04  1.0612e-03
  495.9238  8.3890e-01  1.4284e-03 -2.9292e-03 -6.4182e-04  1.0478e-03
  495.9266  8.3513e-01 -1.9356e-03  4.8405e-04 -6.4339e-04  1.0164e-03
  495.9294  8.2428e-01  9.4597e-04 -1.5304e-03 -2.6790e-04  1.0466e-03
  495.9323  8.1326e-01 -1.3372e-03  2.9176e-04 -9.9658e-04  1.0420e-03
  495.9350  7.8589e-01 -1.8978e-04  3.1049e-04  4.3605e-04  9.8935e-04
  495.9377  7.5222e-01  2.6072e-04 -1.2113e-03  3.0243e-04  9.9829e-04
  495.9406  7.2943e-01 -2.9424e-04 -4.6219e-04 -2.1675e-04  9.9312e-04
  495.9433  7.2507e-01  1.7698e-04  1.4089e-05  2.5045e-04  9.6002e-04
  495.9461  7.3817e-01  5.9715e-04 -6.6248e-04  1.1020e-04  9.7856e-04
  495.9489  7.7050e-01 -9.2957e-04  3.5342e-04 -7.2499e-04  1.0220e-03
  495.9518  8.1201e-01  4.8288e-04  8.0747e-04 -1.5687e-03  1.0243e-03
  495.9544  8.4625e-01 -1.0600e-03  1.9128e-03 -1.7176e-04  1.0298e-03
  495.9572  8.6384e-01  9.3444e-04  9.9830e-04 -8.5740e-04  1.0766e-03
  495.9601  8.6487e-01 -2.6291e-06  4.0283e-04  1.4321e-03  1.0686e-03
  495.9628  8.6275e-01 -2.9141e-04 -3.2883e-04  2.8104e-04  1.0350e-03
  495.9656  8.6879e-01  1.5189e-03 -1.5736e-03 -1.5065e-03  1.0763e-03
  495.9684  8.7992e-01  2.2174e-03  2.2347e-04  1.3258e-03  1.0839e-03
  495.9711  8.9087e-01  4.0385e-04  6.0636e-05 -1.4720e-03  1.0510e-03
  495.9739  9.0195e-01  6.4520e-04 -4.1678e-04 -4.8599e-04  1.0880e-03
  495.9767  9.0068e-01 -9.6777e-04  1.2578e-03  8.3001e-04  1.0983e-03
  495.9796  9.0256e-01 -7.3878e-04 -1.0020e-03 -9.0925e-04  1.0677e-03
  495.9823  9.0104e-01  1.3784e-03 -7.3721e-04 -1.8833e-04  1.0759e-03
  495.9850  8.9682e-01 -4.0772e-04 -4.2466e-04  2.4879e-03  1.0994e-03
  495.9879  8.8744e-01 -1.0712e-03  1.2637e-03  7.1763e-04  1.0719e-03
  495.9906  8.8212e-01 -3.3771e-04  1.2923e-03  1.0706e-03  1.0517e-03
  495.9934  8.7343e-01 -4.9530e-04  8.3080e-05 -4.0446e-04  1.0853e-03
  495.9961  8.7337e-01  1.6379e-03 -2.1396e-03 -4.7734e-04  1.0766e-03
  495.9989  8.8182e-01 -7.2738e-04  7.7028e-04 -7.3848e-06  1.0493e-03
  496.0017  8.9422e-01  1.0869e-03 -3.5074e-04  2.6670e-03  1.0934e-03
  496.0045  9.0210e-01  1.8873e-05 -2.2788e-04 -8.9871e-04  1.0981e-03
  496.0073  9.1237e-01 -5.5250e-04  4.3240e-04  1.2199e-03  1.0673e-03
  496.0100  9.1423e-01  1.8506e-03 -4.8767e-04  1.0399e-03  1.0983e-03
  496.0128  9.0779e-01  4.0439e-04 -4.0908e-04 -1.1840e-03  1.1057e-03
  496.0156  9.0669e-01 -3.8757e-04  1.8037e-03  1.2979e-04  1.0744e-03
  496.0184  9.0386e-01  7.4346e-06 -1.4110e-03 -9.3253e-04  1.0810e-03
  496.0212  9.0185e-01 -3.1630e-03  1.7567e-03 -6.8489e-04  1.1052e-03
  496.0239  9.0316e-01  1.6589e-03 -1.2389e-03  7.9881e-05  1.0847e-03
  496.0267  9.0983e-01  3.4998e-04  1.4296e-03  1.2828e-03  1.0713e-03
  496.0295  9.1414e-01  2.8069e-04 -1.1455e-04 -9.7314e-04  1.1124e-03
  496.0323  9.2199e-01  8.8667e-04 -7.4502e-04  7.8886e-04  1.1060e-03
  496.0351  9.2243e-01 -6.1893e-04 -9.3972e-05  6.5167e-04  1.0751e-03
  496.0378  9.2589e-01 -4.5969e-04 -1.1061e-03  8.1126e-04  1.1127e-03
  496.0406  9.2507e-01 -2.4565e-04  2.3784e-03 -2.2325e-04  1.1168e-03
  496.0434  9.2055e-01  6.1286e-04 -5.3935e-04  3.7311e-06  1.0749e-03
  496.0462  9.1608e-01  9.1325e-04  1.8523e-04  5.2367e-04  1.1026e-03
  496.0490  9.0560e-01  1.4792e-03  9.9249e-04  9.6114e-04  1.1061e-03
  496.0517  9.0073e-01  1.4388e-03  8.8251e-04 -5.6561e-04  1.0715e-03
  496.0545  8.9836e-01  4.8241e-04 -7.3359e-06  1.3400e-03  1.0817e-03
  496.0573  8.9367e-01  1.5029e-04 -1.4873e-03  1.5770e-03  1.1028e-03
  496.0602  8.9810e-01 -2.8879e-04  3.9510e-04 -1.9702e-03  1.0836e-03
  496.0628  9.0626e-01  8.8292e-04 -9.6402e-04 -9.6708e-04  1.0723e-03
  496.0656  9.1180e-01  9.5036e-04  2.8192e-04 -2.3590e-04  1.1148e-03
  496.0685  9.1657e-01  4.1911e-04  1.4351e-03  3.5721e-04  1.1045e-03
  496.0712  9.2014e-01  3.1717e-04  8.1296e-04  8.3086e-04  1.0762e-03
  496.0739  9.1964e-01  1.4149e-03 -2.0749e-04 -3.1762e-04  1.1131e-03
  496.0768  9.1524e-01 -1.1239e-04 -1.1193e-03  5.6972e-04  1.1163e-03
  496.0795  9.1358e-01 -2.5955e-04 -4.3769e-04  1.6322e-04  1.0723e-03
  496.0822  9.1205e-01 -1.1507e-03  4.5875e-04 -6.2249e-05  1.1045e-03
  496.0851  9.1614e-01  1.0015e-03 -6.7015e-04  2.7159e-04  1.1163e-03
  496.0878  9.2058e-01  5.1411e-05  4.4994e-04 -2.4292e-04  1.0863e-03
  496.0906  9.2881e-01 -2.6482e-04  8.0101e-05 -1.0226e-03  1.1040e-03
  496.0934  9.3049e-01 -7.2917e-04  3.4867e-04 -1.8956e-03  1.1280e-03
  496.0961  9.3540e-01 -9.3434e-04  1.5396e-03  1.6394e-04  1.1097e-03
  496.0989  9.3613e-01  9.5422e-04 -1.3862e-03  4.2326e-04  1.0929e-03
  496.1017  9.3694e-01 -8.4677e-04  9.0166e-04 -4.6744e-04  1.1335e-03
  496.1046  9.2721e-01  5.3677e-04 -1.1295e-03  1.1085e-03  1.1171e-03
  496.1072  9.0652e-01 -8.1760e-04  1.5088e-03  2.0140e-03  1.0710e-03
  496.1100  8.7959e-01 -1.6872e-04 -7.8384e-04  9.0512e-04  1.0947e-03
  496.1129  8.6508e-01  5.5478e-05  1.4016e-03 -2.5126e-04  1.0908e-03
  496.1155  8.7113e-01  2.9114e-04  3.2694e-04 -1.0798e-03  1.0537e-03
  496.1183  8.7721e-01 -5.0163e-04  4.0712e-04 -1.3041e-03  1.0862e-03
  496.1211  8.6591e-01 -8.1666e-04  4.5514e-04 -1.5130e-03  1.0888e-03
  496.1239  8.3316e-01 -7.9784e-04  1.8680e-03  1.1848e-03  1.0419e-03
  496.1266  7.8233e-01 -1.0373e-03  1.9391e-03  1.7507e-03  1.0186e-03
  496.1294  7.2684e-01 -1.2348e-03  5.4113e-04 -1.5055e-05  1.0113e-03
  496.1322  7.2182e-01  1.1282e-03  1.1849e-03 -7.4008e-05  9.8427e-04
  496.1349  7.7570e-01  1.1077e-03 -1.5921e-03 -6.2827e-04  1.0051e-03
  496.1377  8.5232e-01 -5.3251e-04  1.7587e-03 -4.6512e-05  1.0822e-03
  496.1405  8.9304e-01 -3.5153e-04  1.4185e-03 -8.8616e-04  1.0998e-03
  496.1433  9.1111e-01 -1.3271e-03  2.0648e-04  1.5258e-03  1.0780e-03
  496.1460  9.1222e-01 -7.1635e-04 -3.2072e-04  1.5268e-03  1.1179e-03
  496.1488  9.0479e-01 -1.7652e-03 -2.0334e-03  5.8196e-04  1.1135e-03
  496.1516  8.9105e-01 -2.9021e-03  2.2497e-04  4.3025e-04  1.0687e-03
  496.1543  8.6593e-01 -1.2974e-03 -9.5593e-04  4.6458e-04  1.0845e-03
  496.1571  8.5359e-01 -1.3934e-03  6.6278e-04  5.1950e-04  1.0879e-03
  496.1599  8.6459e-01  9.9294e-05 -1.0936e-03  6.2660e-05  1.0618e-03
  496.1628  8.7813e-01  1.6327e-04 -6.1412e-04  1.3505e-03  1.0784e-03
  496.1655  8.8752e-01  1.8839e-04  1.1087e-03  1.2797e-03  1.1110e-03
  496.1682  9.0264e-01 -9.4618e-04 -9.5230e-06 -4.6891e-05  1.0981e-03
  496.1711  9.1670e-01 -5.6967e-04 -6.4096e-04 -1.1767e-03  1.0899e-03
  496.1738  9.1661e-01  1.5614e-03  4.7513e-04 -1.1015e-03  1.1285e-03
  496.1765  9.1033e-01 -1.0341e-03 -1.4065e-03 -1.4647e-03  1.1156e-03
  496.1794  8.9975e-01  7.0804e-04  1.0624e-03 -1.0652e-03  1.0770e-03
  496.1821  8.9598e-01 -2.4049e-04 -6.4110e-04  4.6838e-04  1.1117e-03
  496.1848  9.0552e-01  2.9306e-05  1.5887e-04 -1.8497e-03  1.1195e-03
  496.1877  9.1539e-01 -1.2621e-03 -8.8300e-04  4.0249e-04  1.0868e-03
  496.1904  9.2742e-01  2.5338e-04  5.9149e-04 -1.3140e-03  1.1239e-03
  496.1932  9.3977e-01 -8.2257e-04  5.8219e-04  1.4168e-03  1.1408e-03
  496.1960  9.4227e-01  7.6960e-04 -4.3873e-04  1.2882e-03  1.1104e-03
  496.1987  9.4731e-01  2.1768e-04  9.4906e-04  1.7917e-03  1.1230e-03
  496.2015  9.4492e-01  1.2144e-03 -3.3816e-04 -2.6840e-03  1.1461e-03
  496.2043  9.3948e-01  8.7012e-05 -6.0146e-04 -1.4067e-03  1.1232e-03
